Article_Number,Title,Latency_Seconds
1,Kucinich: Reclaiming the money power,3.135
2,Trump Just Woke Up & Viciously Attacked Puerto Ricans On Twitter Like A Cruel Old Man,1.888
3,"Liberals wailing about gun control, but what about abortion?",1.885
4,Laremy Tunsil joins NFL players in kneeling during national anthem,1.826
5,Gold Price in December 2017 - Myriads of Signals and Analogies,0.966
6,It's 1968 All Over Again,6.864
7,Ivana Trump said Donald once abandoned Donald Jr. on a tarmac because he was 5 minutes late for a flight,0.536
8,Shannon Sharpe goes after NFL owners’ hypocrisy over “unity”,1.346
9,"Trump: FBI Ruined Flynn, Let Clinton Go Free",0.713
10,9 Famous Criminals Who Were Murdered in Prison,0.94
