title,text,true_label
TIME FOR A CHANGE. The Energy Report 01/02/18,"The world Is watching and so is oil as the death toll rises in the streets of Iran, where the people revolt against a terrible economy and the lack of any real freedoms and rights. At least 19 people were reported killed in street protests in Iran, while President Hassan Rouhani on one hand defended their right to protest but on the other hand warned he would show “no tolerance” for those who incite unrest. Many arrests have been made and the government of Iran says it may seek the death penalty, for what they say are crimes against God, in demonstrations that have gone on for over 5 days in a row. President Trump tweeted that ”Iran is failing at every level despite the terrible deal made with them by the Obama Administration. The great Iranian people have been repressed for many years. They are hungry for food &amp; for freedom. Along with human rights, the wealth of Iran is being looted. TIME FOR CHANGE!” The uprising in IRAN is just another risk factor in a global oil market that is tightening. Strong global demand and shale oil production that is falling far short of what the Energy Information keeps telling us it is. Reports from the Texas Railroad Commission is telling us that Texas shale oil production has been stagnant and not rising as the production decline rate year over year is taking its toll. Total oil stocks are down a whopping 135M barrels just since April even as U.S. oil production is supposedly at a record high. Bad data is becoming a bigger risk as underinvestment has led to the least amount of oil discoveries in 70 years and the global oil replenishment rate ratio fell to 11 percent this year, down from more than 50 percent in 2012 according to a new report. That is a dangerous situation, especially because of the over estimates of shale oil output. ETF reports that this has led to the lowest ever volumes of oil discoveries in 2017, Rystad Energy said last week. While the low-level of discoveries is not an immediate threat to global oil supply, it could become a threat ten years down the road, according to Rystad Energy. In ten years’ time, U.S. shale production may peak, at least according to OPEC that sees shale peaking after 2025, although the cartel has conceded that U.S. tight oil has defied previous forecasts and has increased production more than initially expected and will continue to do so in the short-term. This year has seen less than 7 billion barrels of oil equivalent discovered globally, a volume as low as last seen in the 1940s, Rystad Energy has estimated. What worries analysts the most is the fact that this year the reserve replacement ratio–the amount of discovered resources relative to the amount of production–was a mere 11 percent, compared to 50 percent in 2012, Sonia Mladá Passos, Senior Analyst at Rystad Energy, said. The other ongoing risk is Venezuela. An explosion over the weekend that hit Venezuela’s largest refinery was an accident waiting to happen. Deferred maintenance and bad management as the Venezuelan government stole money and failed to do even the most basic maintenance for the facility according to sources. Reuters reported that a former oil minister excoriated Venezuelan President Nicolas Maduro in a newspaper column on Sunday, accusing the leftist leader of behaving like biblical King Herod and plunging the oil-rich nation into economic devastation. Rafael Ramirez, who was the all-powerful head of the oil ministry and state energy company PDVSA for a decade, has long been a rival of Maduro. In recent months, Ramirez has grown increasingly critical of Maduro’s handling of a fourth straight year of recession that has triggered malnutrition, widespread food and medicine shortages, the world’s steepest inflation, and a surge in emigration. A furious Maduro ordered Ramirez to resign as the nation’s United Nations ambassador in New York last month after an article entitled the “The Storm” was perceived as an attack on his government. We haven’t even got to the cold. Wicked winter weather is causing a surge in oil and natural gas and coal demand. Demand for coal burns hit three-year high causing to temporarily put it above natural gas as the top s U.S. power sources. There are reports that they were shortages of natural gas in Northern Alberta county under state of emergency due to natural gas disruption. The report said that large parts of northern Alberta was under a state of emergency over the weekend due to low natural gas pressure and system outages. The Energy Report has kept our bullish outlook and we still believe that the double bottom at $26 a barrel was a generational low. Despite all the bearish hype that the market had last year and bad info this year oil looks poised for a big move. Make sure you are hedged! I am hearing from many folks still that were underhedged last year and are now paying the price. Thanks, Phil Flynn Questions? Ask Phil Flynn today at 312-264-4364 A Subsidiary of Price Holdings, Inc. – an Employee Owned Diversified Financial Services Firm. Member NIBA, NFA Past results are not necessarily indicative of future results. Investing in futures can involve substantial risk of loss &amp; is not suitable for everyone. Trading foreign exchange also involves a high degree of risk. The leverage created by trading on margin can work against you as well as for you, and losses can exceed your entire investment. Before opening an account and trading, you should seek advice from your advisors as appropriate to ensure that you understand the risks and can withstand the losses. The information and data in this report were obtained from sources considered reliable. Their accuracy or completeness is not guaranteed and the giving of the same is not to be deemed as an offer or solicitation on our part with respect to the sale or purchase of any securities or futures. The Price Futures Group, its officers, directors, employees, and brokers may in the normal course of business have positions, which may or may not agree with the opinions expressed in this report. Any decision to purchase or sell as a result of the opinions expressed in this report will be the full responsibility of the person authorizing such transaction. Reproduction and/or distribution of any portion of this report are strictly prohibited without the written permission of the author. Trading in futures contracts, options on futures contracts, and forward contracts is not suitable for all investors and involves substantial risks. ©2017 Tune into the Fox Business Network (FBN) is the best in business! Make it your New Year TV Home! The MoneyShow Orlando is coming in February. Get out of the cold! Go to the Money Show! Sign up for my class talking about a historic bottom in oil and what it means for your future. Time Is running out Go to Flynn.OrlandoMoneyShow.com.",true
NY Times Reporter Admits Trump More Open to Press Than Obama,"NY Times Reporter Admits Trump More Open to Press Than Obama Trump better with press than Obama, mainstream reporter says Kit Daniels Prison Planet.com President Trump is more accessible to the media than his predecessor, a New York Times reporter admitted. Credit: Mark Wilson/Getty Images Compared to former President Obama, Trump is better at giving news conferences and reaching out to individual reporters, the Times Glenn Thrush said. I do want to give Trump credit on things, Thrush stated during a media panel discussion on Monday. I think one of the things that I think hes doing better than Barack Obama are these press conferences and his outreach to individual reporters, even for organizations, like my own, that he criticizes. When Obama had press conferences, he had a single piece of white paper and he had six or seven organizations that he had preselected to call upon, and a lot of them were pretty favorable to him, too. Thrust added that Trump was more democratic in comparison by taking questions from a variety of reporters without pre-selecting them, including those from outlets who routinely attack him. As I reported in 2014, journalists routinely criticized the Obama administration for what they characterized as the worst press access theyve experiences in decades. Once we lose access, well never get it back, the Associated Presss chief White House photographer, Charles Dharapak, warned colleagues during a 2014 Newspaper Association of America conference. And the Poynter Institutes Kenny Irby said Obamas chief photographer Pete Souza was more of a propagandist than a real photojournalist because his job was to make Obama look good, make the president look presidential. And Souza enjoyed access to the president mainstream photojournalists didnt have until Trump took office. To sum it up, the mainstream media is like a beaten lover who keeps coming back to an abusive relationship: they fawn over Obama despite his war against press freedom while simultaneously attacking Trump despite his clear generosity to the press. Facebook: https://www.facebook.com/RealKitDaniels View the original article at www.prisonplanet.com",false
Philly cheesesteak joint started by Italian immigrants removes iconic ‘This is America – Speak English’ sign,"When the removal of a sign becomes a sign of the times… In the open border utopia ushered in by President Barack Obama, it’s no longer socially acceptable to think Americans speak English and thus, down comes a famous sign at Geno’s Steaks in South Philly. More from Fox News: Geno’s has held its prominent location at South Philadelphia’s ‘cheesesteak junction’, at the diagonal meeting of 9th and Passyunk–and across from cheesesteak originator “Pat’s”, since 1966, but Vento’s contentious sign set it apart from the rest. Joey Vento, who died in 2011 at age 71, drew regional and national attention over his “This is America, When Ordering Speak English” sign posted to the walk-up window at ‘Geno’s’. After Vento’s death, his son Geno, named for his father’s shop, apparently decided to take the sign down. SEE ALSO: Dana Perino Erupts ‘Like Mount Vesuvius’: ‘After 20 Years Of Defending These Guys … Done!’ Turns out, the descendant of Italian immigrants never refused service to anyone and said he posted the sign as political commentary on illegal immigration, according to Fox News. Geno’s Steaks released a statement on the removal of the sign, saying it’s time to move on. “While Geno continues to honor his father’s traditions of good quality food, cleanliness and giving back to the community, he has decided that after 10 years it is time to move on,” the statement said. “It’s not about the sign. It’s about what you do and what your mark in life is, and Geno wants to change that mark in life.” Geno’s was in the news recently when GOP presidential nominee Donald Trump, who is strongly opposed to illegal immigration, came by for a cheesesteak while campaigning.",false
New video shows struggle in Huntington Beacch officer-involved shooting,"HUNTINGTON BEACH (FOX 11 / CNS) - New video has emerged showing what happened before the shooting took place that left a man dead in Huntington Beach on Friday. A Huntington Beach police officer fatally shot a suspect outside a 7-Eleven store Friday in a confrontation that was caught on video and posted online. WARNING: VIDEO CONTAINS GRAPHIC IMAGES AND CONTENT The shooting occurred about 9:30 a.m. outside the store at 6012 Edinger Ave., where the suspect got into a scuffle with the officer just before the shooting, according to a Huntington Beach Police Department spokeswoman. The suspect later died at a hospital, police said. It happened fast, and like most everything these days, was captured on cell phone video by a bystander. A Huntington Beach Police Officer, in a violent struggle with a man outside a 7-11. The man appears to be a transient, and what spurred their initial interaction is still not clear. After a few seconds of fighting...the two pull away, the man appears to have something in his hand. What it is is not clear. The officer, a few feet away, takes aim with his handgun and fires, once...twice...7 times. The suspect at first takes the shots standing up, then crumbles to the ground. It's quite graphic, quite real, and quite dramatic. In fact, we don't even want to show it on TV it's that violent. The suspect would later die at a hospital and per protocol, the Orange County Sheriff is taking over the investigation. What made this all the more scary was that diagonally across the street is Marina High School. Police ordered it ''locked down'' and immediately cell phones lit up with texts and emails between parents, students, and administrators. There was confusion and near panic among some over reports that there was an active shooter on campus, which there was not. Why? Well, it appears that the shooting happened adjacent to a shopping center called 'Marina Village'. On campus there's an area referred to as ''The Village"", so reports of a shooting in ''The Village"" or at ""The Village'' led to understandable confusion. Yet one of the benefits of social media and that fact that every student has a cell phone, is that the accurate story got out there quickly and students and parents worst fears were calmed within minutes. Cell phone video of the shooting was posted on Twitter, showing the officer firing five shots at the suspect, who stumbles, collapses against a wall of the convenience store, then crumples to the ground.",false
Terry Crews: 'Men Need to Hold Other Men Accountable',"Terry Crews, photographed Nov. 2017. Billy &amp; Hells for TIME When dozens of women came forward with sexual assault and harassment allegations against Harvey Weinstein—who has continued to deny all allegations of non-consensual sex—actor Terry Crews noticed that some people on Twitter were skeptical. Crews knows from personal experience how hard it is to experience harassment and muster the courage to speak out: He says he was groped by William Morris Endeavor agent Adam Venit at an industry event in front of his wife. The agency said they suspended and demoted Venit, who declined to comment for this article. He has since returned to work. Crews is now suing Venit and the agency for sexual assault. Crews—who was recognized as one of the Silence Breakers, TIME’s Person of the Year—realized that men had a responsibility to lend credence and support to these women’s claims. Almost without thinking through the consequences, Crews tweeted out his own story; in his viral series of tweets, he became one of the first men to join the chorus of women speaking out about harassment. Crews spoke to TIME about the reception to his story and why it’s imperative that men advocate for women’s rights. What was the moment you decided to speak out about what happened to you? I’d actually just read a comment someone made on Twitter about one of Weinstein’s accusers. It went something like: She’s just looking for attention and a payday. It really affected me. I couldn’t stop thinking about it. I remember going to my phone and I started writing. And I couldn’t stop. What it became was this sixteen-tweet missive from me. I just remember having to say what I felt. I was really angry because these women were being discounted. These women were being discarded. Their pain was just—it was nothing. I wanted to join in. I wanted to say something. I wanted to support. But I did have to let these women know they weren’t alone. And that I understood. My whole mission was to give them strength. Don’t accept the shame that people are giving you. Because that’s what it was. They were being shamed. They were being victimized again. I just couldn’t stand for it. Watch: Why the Silence Breakers Are the 2017 Person of the Year Mute Current Time 0:00 / Duration Time 0:00 Loaded: 0% 0:00 Progress: 0% 0:00 Progress: 0% Stream TypeLIVE Remaining Time -0:00 Playback Rate 1 Chapters Chapters descriptions off, selected Descriptions subtitles off, selected Subtitles captions settings, opens captions settings dialog captions off, selected Captions Audio Track This is a modal window. Caption Settings Dialog Beginning of dialog window. Escape will cancel and close the window. TextColorWhiteTransparencyOpaqueBackgroundColorBlackTransparencyOpaqueWindowColorBlackTransparencyTransparent Font Size50% Text Edge StyleNone Font FamilyProportional Sans-Serif What was the reaction like? In a matter of hours it had become the #1 trending topic on Twitter. And I had a realization: I didn’t check with my wife, I didn’t check with my publicist, I didn’t check with anybody. I just did it. But at that moment, I was free. Until men stand up and say, “This harassment, this abuse, these assaults are wrong,” nothing will change. If I was silent, it would mean I’m consenting to all of it. I always have felt women have been able to take care of themselves, 100%. But men need to hold other men accountable. That’s my thing. I came up in the cult of masculinity, in football and the sports world and entertainment. You’re in places and guys are saying the wildest thing. People need to be called on that. You need to be held accountable for the things you say, the things you do. What it came from is literally a belief that as a man you are more valuable than a woman. The reason I have the authority to say it is because I was like it. I truly believed I was more valuable than my wife and kids. Until I had a major paradigm shift in my own life—it was like I hit rock bottom in order for me to see that I had it all wrong. I’m here to tell you it’s not your fault. It’s not. What happened to me was a prime example. People were saying, “You should have beat him up.” I’m like, “Why is no one questioning him?” No one questions the predator. The person who is doing the harassment doesn’t even get a question. You know why? Because they just expect it. And I said, “No more.” Why are you questioning the victim here? Let’s flip it. What would you say to people who think this is becoming a witch hunt? Hollywood was so far into the fact that everyone thought this behavior is normal. It needs to swing all the way back. What we need is a reset. People say, “Oh, it’s a witch hunt. People could lie.” You know what? First of all, the thread of that is going to keep people right. We need to know you can’t do it. If it’s not a witch, it’s a witch hunt. If there are actual witches there, we need to stop them. I have people coming to me saying, “Hey, man. You could ruin this guy’s life.” Very clever. That’s a very clever thing to say. But he ruined it when he did it. All these people need to be disciplined into knowing what is acceptable and what isn’t. The only way to do that is by holding people accountable every time. This is something that gives my life meaning. There’s no reason why—why should I be the guy to survive Flint, Michigan; survive forty-nine years on this Earth; married twenty-eight years with five kids, the whole thing—and then I just sit in my big house and relax. This gives my life meaning. Now I know why I was put here. Let me tell you—the guy who messed with me messed with the wrong guy. Is Hollywood a microcosm for how power is imbalanced in the rest of the world? I believe that. It is in every field, in every business, in sports, in politics. It’s bipartisan. It’s not Democratic, it’s not Republican, it’s not Russian, it’s not American, it’s not black, it’s not white. Because I am an African-American man, I’ve been just as vocal about the abuses in my own community. The pimp culture, where guys are praised for having two or three girls. I’ve been to the rally for civil rights, and they will look at a woman and say, “Bitch, sit down.” And you’re like, “Wait a minute—this is civil rights here.” When it’s like, as a black man, I’m equal to a white man, but they don’t believe that a man is equal to a woman. Self-defeating. Self-destructive. How are you going to get justice, and you aren’t even treating the women in your circle with justice? If you’re a Democrat, you can’t gloss over your own problems of the people in your party. If you’re a Republican, you can’t gloss over those problems in your party. If you’re American, you can’t say just because I’m an American, let’s gloss over that stuff. And sometimes you’ve got to be willing to walk alone. I get most of my courage from my wife. When I went through my trauma, she was right there with me. I’m very thankful to have a wise woman on my team. This interview has been edited and condensed.",false
Kucinich: Reclaiming the money power,"From flickr.com: Money {MID-161793} Money ( Image by 401(K) 2013) Permission Details DMCA No Pill Can Stop Tinnitus, But This 1 Weird Trick Can The walls are closing in on Congress. Terrifying walls of water from Hurricanes Harvey and Irma, which, when the damage is totaled, could rise to a half trillion dollars. The Walls of War: The multi-trillion dollar ongoing cost of Afghanistan, Iraq and other interventions. The crumbling walls of the U.S. infrastructure, which need at least $3 trillion to be repaired or replaced. A wall of 11 million undocumented immigrants, whose deportation could easily cost $200 billion. The planned wall at the Mexican border, which some estimates place at $67 billion. Then there is the Wall of All, the $20 trillion national debt. The walls of debt are closing in. At moments of crisis in our nation, in addition to invoking the assistance of Higher powers, we can call upon the Constitution for guidance. Article I, Section 8, of the U.S. Constitution contains a long-forgotten provision, ""the coinage clause,"" which empowered Congress ""to coin (create) Money."" The ability to create money to meet the needs of the nation is a sovereign power, which enables a nation to have control of its own destiny. The same article indicates the Founders anticipated having to borrow money on the full faith and credit of the United States. Enter the Funding Act of 1790, which assumed and paid off the debt of the colonies and retired the financial obligations of the newly created states now united. This was a powerful, object lesson in debt retirement, relevant today. It is abundantly clear from a plain reading of the coinage clause that the Founders never intended that the only way the government was to be funded was to borrow money. The needs of the nation were to come from a system of not borrowing wherein money was a neutral value of exchange connecting resources, people and needs, without debt attached. In 1913, the passage of the Federal Reserve Act ceded the constitutional power to create money (and control of our national destiny), to the Federal Reserve, a quasi-private central bank. At this fateful point, the only way money could be brought into being was to borrow it, whereby money became equated with debt. The money system transited from public control to private control, and there it has remained. Instead of following the path set forth by the Founders to create money directly, our government became obliged to borrow from private banks, which assumed the sovereign power to create money from nothing and then loan it to the government, turning on its head the intention of the Founders. As a member of Congress, I came to the conclusion that while the debate over taxation was interesting, it was wholly insufficient. One must first study how money is created, before one can sensibly have a discussion of how it is to be taxed. With the help of staff, I spent a full five years working with legislative counsel to come up with a way to realign with the founding principles, to reclaim and to re-establish for our nation the sovereign power to create money. The vehicle was H.R. 2990, the National Emergency Employment Defense (NEED Act), which articulates why the current debate over the debt ceiling should lead directly to a debate about monetary policy, and the origins of the debt-based economic system. How To Easily Kill All Indoor Odor, Mold, And Bacteria — Without Lifting A Finger No More Tinnitus (Ear Ringing) If You Do This Immediately In our work on the NEED Act, we propound that the present monetary system has led to a concentration of wealth, expansion of national debt, excessive reliance on taxation, devaluation of the currency, increases in the cost of public infrastructure, unemployment and underemployment and the erosion of the ability of Congress to meet the needs of the American people. This system has been a source of financial instability where the banks' ability to create money out of nothing has become a financial liability for the American taxpayers. When banks engaged in speculative lending, turning the financial system into a casino, they were bailed out while millions of Americans lost their homes. No surprise that today we are told there is not enough money for creating jobs, rebuilding America, health care, education and retirement security. But there is always money to bail out the banks. Let us take the opportunity afforded in the debate over the debt ceiling to regain control of our sovereignty and our national destiny. We can have a future of abundance instead of poverty, but we must first take down the wall which separates us from our true sovereignty, the power to coin and create money. Let us return to first principles, and reclaim the constitutional power to coin and create United States money and spend it into circulation to meet the needs of the nation and reduce taxes. Two hundred and thirty years ago this month, delegates from 13 states gathered in a constitutional convention, which set the stage for ratification. Let us summon that same revolutionary spirit and its wisdom to guide us in the days ahead. Seniors Can't Get Enough of This Sweet Treat That Has Shown to Turn Back the Clock on Alzheimer's From flickr.com: Money {MID-161793} Money ( Image by 401(K) 2013) Permission Details DMCA The walls are closing in on Congress. Terrifying walls of water from Hurricanes Harvey and Irma, which, when the damage is totaled, could rise to a half trillion dollars. The Walls of War: The multi-trillion dollar ongoing cost of Afghanistan, Iraq and other interventions. The crumbling walls of the U.S. infrastructure, which need at least $3 trillion to be repaired or replaced. A wall of 11 million undocumented immigrants, whose deportation could easily cost $200 billion. The planned wall at the Mexican border, which some estimates place at $67 billion. Then there is the Wall of All, the $20 trillion national debt. The walls of debt are closing in. At moments of crisis in our nation, in addition to invoking the assistance of Higher powers, we can call upon the Constitution for guidance. Article I, Section 8, of the U.S. Constitution contains a long-forgotten provision, ""the coinage clause,"" which empowered Congress ""to coin (create) Money."" The ability to create money to meet the needs of the nation is a sovereign power, which enables a nation to have control of its own destiny. The same article indicates the Founders anticipated having to borrow money on the full faith and credit of the United States. Enter the Funding Act of 1790, which assumed and paid off the debt of the colonies and retired the financial obligations of the newly created states now united. This was a powerful, object lesson in debt retirement, relevant today. It is abundantly clear from a plain reading of the coinage clause that the Founders never intended that the only way the government was to be funded was to borrow money. The needs of the nation were to come from a system of not borrowing wherein money was a neutral value of exchange connecting resources, people and needs, without debt attached. In 1913, the passage of the Federal Reserve Act ceded the constitutional power to create money (and control of our national destiny), to the Federal Reserve, a quasi-private central bank. At this fateful point, the only way money could be brought into being was to borrow it, whereby money became equated with debt. The money system transited from public control to private control, and there it has remained. Instead of following the path set forth by the Founders to create money directly, our government became obliged to borrow from private banks, which assumed the sovereign power to create money from nothing and then loan it to the government, turning on its head the intention of the Founders. As a member of Congress, I came to the conclusion that while the debate over taxation was interesting, it was wholly insufficient. One must first study how money is created, before one can sensibly have a discussion of how it is to be taxed. With the help of staff, I spent a full five years working with legislative counsel to come up with a way to realign with the founding principles, to reclaim and to re-establish for our nation the sovereign power to create money. The vehicle was H.R. 2990, the National Emergency Employment Defense (NEED Act), which articulates why the current debate over the debt ceiling should lead directly to a debate about monetary policy, and the origins of the debt-based economic system. How To Easily Kill All Indoor Odor, Mold, And Bacteria — Without Lifting A Finger Trump to End the Dollar as We Know It by November 8, 2018?",true
"SNL takes a jab at Donald Trump, who doesn't like it","Kate McKinnon (left) and Alec Baldwin (right) as Clinton and Trump NBC Universal “Saturday Night Live” takes swings at all political candidates, regardless of party. And with Alec Baldwin and Kate McKinnon portraying Donald Trump and Hillary Clinton, they keep hitting the mark. The show has a long history of making fun of everyone with their impersonations. Both Baldwin and McKinnon have been praised for their spot-on impressions of celebrities, musicians and politicians. Trump has even joined in on the fun in the past while acting as a host. On Saturday’s broadcast of the show, the actors took on the second debate between Trump and Clinton, and the GOP nominee was the focus of some pointed satire from Baldwin. “Tonight, I’m going to do three things. I’m going to huff. I’m going to puff. I’m going to blow this whole thing,” Baldwin, as Trump, said in the sketch. After the show, Trump took to Twitter to let people know that once it gets personal, he’s no longer laughing. While Trump and his supporters seem convinced that “Saturday Night Live” is trying to bring down his campaign, a lot of people took to Twitter to remind everyone that the show is all in the name of satire. Regardless of where you stand, one thing is for sure -- whether Trump likes it or not, these sketches will continue at least through November 8th.",false
The FBI Just Blew The Hillary Clinton Case Wide Open She Could Literally Be Going to Jail,The FBI just blew the Hillary Clinton case wide open she could literally be going to jail. FBI just dropped could put her in the category of bonafide traitor. FBI uncovered Russian bribery plot before Obama administration approved controversial n-u-c-l-e-a-r deal with Moscow. Senate Judiciary opens probe into Obama-era Russian uranium bribery… PAPER: Stunning cover-up,true
"Gutterpube Who Says “F All Them Crackas” Who Got Shot In Vegas, Is A Deadbeat Dad Coke Dealer Who Claims He Donated Drug Proceeds To PR Relief","Gutterpube Who Says “F All Them Crackas” Who Got Shot In Vegas, Is A Deadbeat Dad Coke Dealer Who Claims He Donated Drug Proceeds To PR Relief Want to advertise with Turtleboy? Email us at [email protected] for more information. Screen Shot 2015-12-01 at 10.29.56 AM Obviously the big story of the day is the massacre that occurred in Las Vegas last night at a Country Music concert, where at least 50 people were killed by a man from a 32nd floor hotel room at Mandalay Bay casino. Naturally this has already been politicized, with people arguing about immigration, gun control, and all things Trump. Oh and Hillary said this: The crowd fled at the sound of gunshots. Imagine the deaths if the shooter had a silencer, which the NRA wants to make easier to get. — Hillary Clinton (@HillaryClinton) October 2, 2017 But yea, Trump is the only one who tweets dumb things. Good thing the democrats gave us a viable alternative in 2016 that we could really get behind. Those machine gun silencers are a real killer. Anyway, we have no interest in going all political about this. Maybe Jay Dub will. Just not my cup of tea. What we do is always find the worst people on the Internet and see what they have to say about this tragedy. Today’s winner is an illiterate drug dealer from Hartford named Allen Lozada, AKA AP El Titere. Here’s his initial reaction to the mass shooting: He might not have finished his GED, but he basically sees the world the same exact way 99% of employees at CNN do – everything is Trump’s fault. And those crackas who were peacefully watching a concert in Vegas? They deserved it. The whole thing was a big setup to draw attention away from hurricane relief in Puerto Rico. He was just getting started though: But he’s one of the good guys because he admits to donating his profits from drug transactions towards disaster relief: Oh yea, he’s a winner. And you’ll never guess who his favorite bouncing ball team is….. There’s gonna be a lot of talk in the days and weeks ahead about banning whatever guns were used in Las Vegas. But I think we can all agree that what REALLY needs to be banned are flat brimmed Chicago Bulls hats and anyone who is inclined to wear them. There are plenty of responsible, law abiding gun owners out there. But there has never, ever, ever been a decent, law-abiding person who has chosen to wear that thing on their head. If you know anyone that owns that hat, disassociate with them immediately. They will only bring you down. He even rocks the Chicago Bulls winter hat when he’s pouring out some Henny for the homeys in the January: Easy on the Henny Allen – it’s not good for your bowels: I know when I die I want people to come to my headstone and drink copious amounts of Red Bull and Henny, the nectar of the hoodrats. He really misses his boy, who I’m sure lived a noble and worthwhile life, because now that Sito isn’t around, he doesn’t have anyone to come scoop him up to he can “turn up on these fuck n words”: You can also find Allen Lozada on Deadbeatdirectory.com, with his own profile: Oh good, he’s a cokehead deadbeat “dad,” who allegedly threatened to choke his baby until she turned blue. Shocking. Especially considering his overall philosophy on women: When he eventually gets killed by a cop and SJWs pretend like his death is an actual loss to the community, he wants you to commemorate him by burning Hartford to the ground: He’s very familiar with the inside of a courthouse: He lives the good life by cashing in his SSI check for stays at the Marriott: Last year things were beginning to look up for Allen. He was trying to stay out of the police logs, and gave himself one Internet cookie for going a full month without stabbing, shooting, or running over someone with a car: He gets another Internet cookie for going four days sober: And he’s going legit because the “feds out here snatching everybody”: Also this: I have no idea what that means, but it sounds important. VERY important. Anyway, it is gonna be interesting to see what the killer’s motivation was in Las Vegas. He shot at a country music festival. A place that more than likely was filled with people who voted for Donald Trump. Not saying that’s his motive, but he could’ve shot up any large group of people and he chose this one. Just sayin. Either way, Allen Lozada is a useless sack of gutterpubes, and the 50+ who died in Las Vegas are much, much bigger losses to society than he could ever be. We urge you to support the following local businesses. They provide terrific services for the community! Screen Shot 2017-02-27 at 10.14.48 AM Screen Shot 2017-03-31 at 2.17.19 PM Screen Shot 2017-03-25 at 8.48.23 PM",true
WATCH: Mike Huckabee ‘Can’t Recall’ If Donald Trump Has Admitted To Sexually Assaulting Women,"The level of doublethink involved in being a contemporary member of the GOP is astounding. Former Presidential candidate and current Donald Trump sycophant Mike Huckabee can barely even remember basic facts, like whether or not Trump has ever admitted to committing sexual assault. The things Republicans have to tell themselves and the public in order to continue pushing their agenda take some serious mental gymnastics. We have Presidential counselor Kellyanne Conway coining the term “alternative facts.” Former Press Secretary Sean Spicer became a laughing stock for his outrageous defenses of President Donald Trump’s statements and behavior. And the person who took Spicer’s Job, Sarah Huckabee Sanders, has continued that trend. For example, she suggested that ESPN analyst Jemele Hill be fired for bullying President Trump on Twitter, despite the fact that the President regularly uses his own Twitter account to shout down opponents and turn his followers against others. However, Sarah’s father Mike Huckabee may take the cake with his comments on Fox &amp; Friends this morning. Conservatives have loved speaking about disgraced Hollywood mogul Harvey Weinstein and his donations to Democratic causes and candidates, and Trump’s favorite morning team and Huckabee decided to tie it back to Hillary Clinton yet again. Host Abby Huntsman started things off by addressing Huckabee: “There was also an uncomfortable moment when she talked about President Trump, how he admitted to being sexual assaulter. She was asked about the Weinstein situation and she mentioned how her husband – Bill Clinton – what he did was in the past. Anyone watching that, I think, was a little squirmy in their seat. She even looks squirmy, talking about it. Has President Trump ever admitted to being a sexual assaulter?” Anyone with a halfway functioning brain would of course recall the infamous Access Hollywood tape where Trump bragged about grabbing women “by the pussy” because he was famous. Huckabee, apparently, lacks that halfway functioning brain, responding: “I don’t recall that that has ever happened.” He then proceeds to turn the discussion back to Bill Clinton, who, if you recall, was President twenty years ago. Fairly selective memory there, Mike. So keep playing in your big boy trucks, Donald, and know that your sycophants are doing everything in their power to rewrite history. Watch the ridiculous exchange below: Featured image via Flickr user Gage Skidmore / CC BY-SA 2.0.",true
