Article_Number,Title,Latency_Seconds
1,"Richie Incognito, Jonathan Martin reps to meet?",1.833
2,Trump reportedly tried to privately ‘rationalize’ KKK membership in wake of Charlottesville,2.968
3,Postpartum depression can affect dads – and testosterone may be to blame,1.081
4,Donald Trump's September fundraising lags behind Hillary Clinton,0.966
5,"Kellyanne Conway says White House “doesn’t care” about Clinton, but Trump certainly does",6.149
6,The 100 Funniest Tweets From the Unending Nightmare That's Been the 2016 Election,6.803
7,Conjugaison anglaise du verbe TO RESERVE,1.054
8,How Trump Accidentally Made Obama Great Again,4.794
9,Your response to Trump’s racist ‘shithole’ comment will be remembered,5.134
10,"CHICAGO: 117 KILLED, 572 SHOT In 71 Days…Obama Terrorist Friend, Bill Ayers, Bernie Sanders, Black Lives Matter Make Violence Against FREE SPEECH Top Priority… Soros Group Openly Threatens Americans",4.875
11,Global Warming…Enough Already,5.441
12,"Pulse families' lawsuit against Twitter, Facebook and Google dismissed",0.865
13,Gay Activists: Be Tolerant. Or We Will Destroy You!,5.79
14,Donald Trump just ceded the presidency to Hillary Clinton,6.82
15,"Hunter Who Says He Was Shot At By Immigrants At U.S.-Mexico Border Was Victim Of Friendly Fire, Investigators Conclude",1.213
16,"Chris Brown Laughs During National Anthem & Refuses To Stand, Has Unexpected Encounter After (Video)",0.925
17,The Truth Story Behind The Clintons Relationship: Revealed,5.449
18,Thanks Trump: Birther Joe Arpaio is back,5.938
19,Audit: $84M in taxpayer funds improperly used for Delta tunnels,1.309
20,How liberal Democrats use lies to get what they want,6.128
21,"Tell Us, Mr. Bannon -- Just What Is Trumpism?",6.496
22,CNN: Everyone that Voted for Trump is a “White Supremacist by Default”,6.025
23,"Los Angeles to Legalize Street-Side Food Vendors to Spite Trump, ICE",5.361
24,The New York Times abandoned its integrity just to bash Donald Trump,4.703
25,Beyond horrific': Deadliest mass shooting in modern US history,0.976
26,Why this Trump row is different,5.252
27,Hillary Clinton’s niece is voting for Donald Trump,4.66
28,The Economist: Trump’s Creating More MS-13 Gangmembers,6.785
29,Harvey Weinstein became a major player in Democratic politics — here's the wide net of people he has given money to,1.016
30,"Liberals wailing about gun control, but what about abortion?",5.841
31,Detroit doctor charged for female genital mutilation to be released on $4.5M bond,0.917
32,6 Promising New Medical Treatments for Cancer,0.921
33,What issues divide the nation during the civil war?,0.881
34,Donald Hits Back at Father of Fallen Muslim Soldier After His Impassioned DNC Speech Against Trump,1.069
35,"EU is much more dangerous than Donald Trump, says Leo McKinstry",5.529
36,What the Wells Fargo Crackdown Signals to Corporate America,0.824
37,US General Warns Growing ISIS Presence a Major Security Problem in Caribbean,4.167
38,36 People Who Got What They Had Coming,1.305
39,#FakeNews CNN Trashes Vice President – Estimates Price Tag of Pence Defending US Flag and Walking Out of Colts Game,4.764
40,Run You,0.814
41,President Trump’s first 100 days: What will Donald Trump do now?,1.021
42,Don't Fall for Jimmy Kimmel's Cheap Zero-Sum Emotionalism,4.508
43,Identity in a Fog: Gender Identity After Sexual Abuse,1.113
44,"Police in Seattle Can’t Say ‘Suspect’ Anymore, It’s Now ‘Community Members’",5.33
45,Why FBI's James Comey 'Reopened' Clinton Email Probe Days Before the Election,5.674
46,"""Heartless"" fraudsters conned an elderly woman out of thousands of pounds hours after she was told she was going to die of cancer.",0.882
47,SHAMELESS Liberal Media Exploits Harvey Devastation to Shill for DACA,5.029
48,"One Year Ago Today: Trump Tells Hillary “You’d Be in Jail!”… It’s Time to Fulfill That Promise, Mr. President",5.117
49,South Park Provoked the Rise of White Supremacists—Here's How,5.459
50,Betar letter: Washington Post,3.132
51,Donald Trump and women,5.663
52,NFL will not discipline Rams for pregame gesture,0.978
53,Three House Democrats introduced a resolution to censure Trump over Charlottesville,0.937
54,DNC Breaks the Law to Promote Illegal Immigration,4.985
55,T-Boz Seeks Justice After Cops Shoot Mentally Challenged Cousin 18 Times… #BlackLivesMatter,6.197
56,Why Criminals Stealing Suppressors Isn’t The Problem Some Anti-Gunners Think,4.299
57,Odessa businessman donates $1M to American Red Cross as they prepare for more possible tragedy,1.001
58,The Great Divider,4.113
59,Jennifer Aniston And Justin Theroux's Marriage In Trouble Because Of Chelsea Handler?,1.006
60,The FBI Just Blew The Hillary Clinton Case Wide Open She Could Literally Be Going to Jail,4.441
61,McMaster: Potential for War With North Korea Grows Daily,0.882
62,Facebook sets up crisis response page after Las Vegas shooting,0.824
63,The Daily Stormer switched to Google after GoDaddy gave it '24 hours to move the domain',1.018
64,An FBI agent was injured when a flash grenade exploded in Manhattan,0.829
65,17 ISIS Militants Posed as Refugees to Reach Europe: German Official,1.014
66,Twitter Was Not Here For Sean Spicer's Emmy Appearance,5.589
67,DACA hurts American millennials the most,4.782
68,B&B Recap: Quinn unleashes her inner pain on a stunned Ridge,0.749
69,Trump: Comey ‘lied and leaked’ and protected Clinton,1.022
70,Trump Destroyed Bill And Hillary Clinton With One Tweet,5.008
71,Trump Calls Out NFL for Not Forcing Players to Stand During Anthem,4.805
72,Is 'Black Lives Matter' a Racist Term? Watters' World Tackles Racism,3.685
73,Are All Men Supposed To Be Financially Buoyant? Lady Warns Women Who Broke-Shame Men,1.045
74,This Police Department Found Out Employees Were Radical Racists After Someone Aired Them Out On Facebook,5.084
75,"Former CIA director on ""worst-case scenario"" in Syrian civil war",0.969
76,Far-right leaders have double standards for immigrants,4.338
77,What Do Background Checks Do To Crime Rates? Not What Some Think,4.899
78,Statue of the Unknown Soldier Possibly Pushed Down in Park in Longview,0.95
79,The Queen sends a message of condolence to Donald Trump following Las Vegas shootings,0.897
80,Robert F. Kennedy Jr. Said That “Trump Could Be the Greatest President in History”?,1.023
81,Hurricane Irma: Blood donations needed to help victims in Florida,0.92
82,I Have a Dream,1.333
83,Here’s your leftover turkey: The case for Hillary Clinton 2020,5.768
84,Trump Announces Ban on Transgender People Serving in the Military,0.992
85,7 Tone-Deaf Things Trump Said While Visiting Puerto Rico,5.988
86,"Susan Rice is a Gaffe Machine, but Blames the Hate on Racist and Sexist Republicans",5.705
87,"Reps. Gaetz, Biggs: Hillary Clinton's FBI special treatment must be investigated",5.125
88,Midland Daily News Obituaries Past 30 days: All of Midland Daily News Obituaries from Past 30 days,0.755
89,When The Left Eats Its Own: Watch ANTIFA Thug Punch BLM Member,3.232
90,Report: Bernie and Jane Sanders hire lawyers amid FBI probe,0.898
91,Black Like He And I: The Man-Not And The Fight To Humanize Black Men And Boys,1.228
92,A beginner’s guide to the AfD,5.759
93,Can Deep State Be Trusted? Why Won’t the FBI Release Any Information on Las Vegas Shooting?,5.03
94,Nancy Pelosi: Too much is being made of Clinton emails,0.984
95,"Revealed: Las Vegas Shooter Wired $100,000 To Philippines Last Week",0.922
96,Sun Tzu and the Democratic Party,4.917
97,Google search terms ‘Trump women’ vs. ‘Wikileaks’ show which one America REALLY cares about,5.241
98,Israel and the American Jewish Crisis,6.451
99,‘Serial misconduct and perversion’: Trump accusers describe incidents ‘a thousand times worse than what Franken has done’,5.024
100,Republican headquarters in North Carolina firebombed,3.482
